product_id,name,category,unit,price,dietary_tags,description,frequently_bought_together
GROC_0001,Nature's Best Premium Whipped Cream,Dairy & Eggs,250g,5.5,keto_friendly;vegetarian,Shop Nature's Best Premium Whipped Cream (250g). Keywords: dairy  eggs whipped cream nature's best premium. Perfect for everyday meals and snacks.,GROC_0189;GROC_0561
GROC_0002,SunKissed Processed Cheese,Dairy & Eggs,500g,6.03,keto_friendly;vegetarian,Shop SunKissed Processed Cheese (500g). Keywords: dairy  eggs cheese sunkissed processed. Perfect for everyday meals and snacks.,GROC_0262;GROC_0366;GROC_0709
GROC_0003,FarmFresh Paneer,Dairy & Eggs,250g,3.61,keto_friendly;vegetarian,Shop FarmFresh Paneer (250g). Keywords: dairy  eggs paneer farmfresh . Perfect for everyday meals and snacks.,GROC_0032
GROC_0004,Everyday Basics Organic Buttermilk,Dairy & Eggs,500ml,13.42,keto_friendly;organic;vegetarian,Shop Everyday Basics Organic Buttermilk (500ml). Keywords: dairy  eggs buttermilk everyday basics organic. Perfect for everyday meals and snacks.,GROC_0692;GROC_0872;GROC_0329
GROC_0005,Chef's Choice Organic Condensed Milk,Dairy & Eggs,2 lbs,8.93,keto_friendly;organic;vegetarian,Shop Chef's Choice Organic Condensed Milk (2 lbs). Keywords: dairy  eggs condensed milk chef's choice organic. Perfect for everyday meals and snacks.,GROC_0285;GROC_0016;GROC_0804
GROC_0006,MorningDew Organic Eggs,Dairy & Eggs,250g,13.11,keto_friendly;organic;vegetarian,Shop MorningDew Organic Eggs (250g). Keywords: dairy  eggs eggs morningdew organic. Perfect for everyday meals and snacks.,GROC_0606;GROC_0339
GROC_0007,Value Choice Organic Cream,Dairy & Eggs,1L,17.47,keto_friendly;organic;vegetarian,Shop Value Choice Organic Cream (1L). Keywords: dairy  eggs cream value choice organic. Perfect for everyday meals and snacks.,GROC_0576;GROC_0609
GROC_0008,Nature's Best Cultured Cream,Dairy & Eggs,500ml,2.15,keto_friendly;vegetarian,Shop Nature's Best Cultured Cream (500ml). Keywords: dairy  eggs cream nature's best cultured. Perfect for everyday meals and snacks.,GROC_0560;GROC_0731
GROC_0009,Everyday Basics Cream,Dairy & Eggs,1.5L,9.75,keto_friendly;vegetarian,Shop Everyday Basics Cream (1.5L). Keywords: dairy  eggs cream everyday basics . Perfect for everyday meals and snacks.,GROC_0322;GROC_0224;GROC_0923
GROC_0010,Nature's Best Buttermilk,Dairy & Eggs,1 Gallon,7.61,keto_friendly;vegetarian,Shop Nature's Best Buttermilk (1 Gallon). Keywords: dairy  eggs buttermilk nature's best . Perfect for everyday meals and snacks.,GROC_0386;GROC_0184
GROC_0011,Everyday Basics Organic Whipped Cream,Dairy & Eggs,1 lb,13.22,keto_friendly;organic;vegetarian,Shop Everyday Basics Organic Whipped Cream (1 lb). Keywords: dairy  eggs whipped cream everyday basics organic. Perfect for everyday meals and snacks.,GROC_0318;GROC_0296
GROC_0012,GreenValley 2% Milk,Dairy & Eggs,1L,12.81,keto_friendly;vegetarian,Shop GreenValley 2% Milk (1L). Keywords: dairy  eggs milk greenvalley 2%. Perfect for everyday meals and snacks.,GROC_0611;GROC_0541
GROC_0013,Essential Cultured Yogurt,Dairy & Eggs,500g,4.33,keto_friendly;vegetarian,Shop Essential Cultured Yogurt (500g). Keywords: dairy  eggs yogurt essential cultured. Perfect for everyday meals and snacks.,GROC_0825;GROC_0475;GROC_0093
GROC_0014,Essential Organic Whipped Cream,Dairy & Eggs,1 lb,7.61,keto_friendly;organic;vegetarian,Shop Essential Organic Whipped Cream (1 lb). Keywords: dairy  eggs whipped cream essential organic. Perfect for everyday meals and snacks.,GROC_0790;GROC_0709
GROC_0015,GreenValley Yogurt,Dairy & Eggs,5kg,8.3,keto_friendly;vegetarian,Shop GreenValley Yogurt (5kg). Keywords: dairy  eggs yogurt greenvalley . Perfect for everyday meals and snacks.,GROC_1013;GROC_0505;GROC_0046
GROC_0016,Chef's Choice Mozzarella Cheese,Dairy & Eggs,2kg,10.54,keto_friendly;vegetarian,Shop Chef's Choice Mozzarella Cheese (2kg). Keywords: dairy  eggs cheese chef's choice mozzarella. Perfect for everyday meals and snacks.,GROC_0693;GROC_0995
GROC_0017,Harvest Large Eggs,Dairy & Eggs,2kg,11.1,keto_friendly;vegetarian,Shop Harvest Large Eggs (2kg). Keywords: dairy  eggs eggs harvest large. Perfect for everyday meals and snacks.,GROC_0867;GROC_0747;GROC_0683
GROC_0018,FarmFresh Sour Cream,Dairy & Eggs,2kg,10.65,keto_friendly;vegetarian,Shop FarmFresh Sour Cream (2kg). Keywords: dairy  eggs sour cream farmfresh . Perfect for everyday meals and snacks.,GROC_0349
GROC_0019,Value Choice Organic Paneer,Dairy & Eggs,500g,16.73,keto_friendly;organic;vegetarian,Shop Value Choice Organic Paneer (500g). Keywords: dairy  eggs paneer value choice organic. Perfect for everyday meals and snacks.,GROC_0756;GROC_1001;GROC_0742
GROC_0020,Harvest Organic Ghee,Dairy & Eggs,1 lb,18.0,keto_friendly;organic;vegetarian,Shop Harvest Organic Ghee (1 lb). Keywords: dairy  eggs ghee harvest organic. Perfect for everyday meals and snacks.,GROC_0736;GROC_0518;GROC_0205
GROC_0021,Harvest Organic Paneer,Dairy & Eggs,100g,5.84,keto_friendly;organic;vegetarian,Shop Harvest Organic Paneer (100g). Keywords: dairy  eggs paneer harvest organic. Perfect for everyday meals and snacks.,GROC_0636
GROC_0022,SunKissed Cultured Yogurt,Dairy & Eggs,5kg,11.76,keto_friendly;vegetarian,Shop SunKissed Cultured Yogurt (5kg). Keywords: dairy  eggs yogurt sunkissed cultured. Perfect for everyday meals and snacks.,GROC_0041;GROC_0082
GROC_0023,OrganicLife Organic Paneer,Dairy & Eggs,2kg,9.95,keto_friendly;organic;vegetarian,Shop OrganicLife Organic Paneer (2kg). Keywords: dairy  eggs paneer organiclife organic. Perfect for everyday meals and snacks.,GROC_0600;GROC_0704;GROC_0902
GROC_0024,MorningDew Butter,Dairy & Eggs,250g,2.82,keto_friendly;vegetarian,Shop MorningDew Butter (250g). Keywords: dairy  eggs butter morningdew . Perfect for everyday meals and snacks.,GROC_0474;GROC_1028;GROC_1012
GROC_0025,MorningDew Processed Cheese,Dairy & Eggs,2 lbs,5.75,keto_friendly;vegetarian,Shop MorningDew Processed Cheese (2 lbs). Keywords: dairy  eggs cheese morningdew processed. Perfect for everyday meals and snacks.,GROC_0706;GROC_0256
GROC_0026,Everyday Basics Premium Paneer,Dairy & Eggs,100g,17.7,keto_friendly;vegetarian,Shop Everyday Basics Premium Paneer (100g). Keywords: dairy  eggs paneer everyday basics premium. Perfect for everyday meals and snacks.,GROC_0110;GROC_0210
GROC_0027,GreenValley Whole Milk,Dairy & Eggs,2L,9.17,keto_friendly;vegetarian,Shop GreenValley Whole Milk (2L). Keywords: dairy  eggs milk greenvalley whole. Perfect for everyday meals and snacks.,GROC_0389;GROC_0014
